	date	text	source	likes	shares	year	month	day
74	2022-06-28 18:47:10	"RT @n1234nina: Αν προσέξεις
πάει μπροστά
αγέρωχο το εγώ,
σαν σκιά
πιο πίσω του ο φόβος.
Στο μεταξύ ο άνθρωπος παραπατάει...
Αλέξανδρος Φωστ…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	468	2022	6	28
75	2022-06-28 18:47:03	RT @kako_skyl: Δεν έτρωγα, έπαθα γαστρίτιδα,μετά κρίσεις πανικού, μετά υπερφαγικα επεισόδια, μετά πάλι κρισουλες πανικού στον ύπνο. Έτσι με…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3	2022	6	28
76	2022-06-28 18:46:49	Πολύ καλός ο Ορφεας. Μόνο με το βλέμμα του δείχνει την βαθιά, αγνή αγάπη για την Αργυρω. Χωρίς λόγια  #sasmos	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	13	2	2022	6	28
77	2022-06-28 18:46:36	"#sasmos
""Το μόνο πράμα που έχει νόημα η ζωή της Αργυρως...""
Τι άλλο να κάνει για να δείξει την αγάπη του...  "	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	25	3	2022	6	28
78	2022-06-28 18:45:57	"Ωχ μωρέ Αστέρη.... 😭😭😭😭😭😭
Πόση αγάπη;;;; #sasmos"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	11	2	2022	6	28
79	2022-06-28 18:45:40	οι φίλοι που με ξέρουν πραγματικά μου δείχνουν την αγάπη τους όταν κάθε φορά που σκάω μύτη μου λένε α καλώς και την σνομπαρία	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	4	2	2022	6	28
80	2022-06-28 18:45:05	Αχ μωρέ Μαρίνα.. Εσύ δεν καταλαβαίνεις ?? Εσύ, απ' όλους τους ανθρώπους;;; Η μόνη αιτία είναι η αγάπη.. #sasmos	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	5	0	2022	6	28
81	2022-06-28 18:44:46	@DrKarahalios και με αγάπη 😘	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2022	6	28
82	2022-06-28 18:44:34	Πολλή αγάπη στα κορίτσια της Εθνικής πόλο. Περιμένουμε στο Ευρωπαϊκό τωρα💙  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2022	6	28
83	2022-06-28 18:44:06	@Sonia_kkk Δε θέλω κάτι 🤤 να ευχαριστηθεις τη βόλτα σου αυτό θέλω 🤭😂 γειά σου Αγάπη ❤️❤️❤️	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0	2022	6	28
84	2022-06-28 18:42:42	Κάθε καινούργια αγάπη συνήθως βάζει στην ντουλάπα των αναμνήσεων την παλιά, αν δεν υπάρξει καινούργια ζούμε ένα δράμα που μπορεί να κρατήσει και μια ζωή. Γι' αυτό αγαπάτε....  	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2022	6	28
85	2022-06-28 18:42:14	RT @Sylvestra_Jsc: Του δειχνουν την αγαπη τους ... @PrimeministerGR	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	5	2022	6	28
86	2022-06-28 18:41:13	@u9t22RYkqHNgYin @Nike20548894 Οι Σταμίραινες περνούν ως πρότυπο αδελφικής αγάπης, ενώ μόνο αγάπη δεν είναι όλο αυτό. Ναι οκευ τα βρήκαν και μπράβο τους, αλλά απ' τις πιο προβληματικές αδερφικές σχέσεις που έχω δει.	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2022	6	28
87	2022-06-28 18:40:13	"@dieLehrerin_ Βρες τι θα μου αφησεις 🥹
Αγάπη μου υπομονή θα περάσει"	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0	2022	6	28
88	2022-06-28 18:39:45	RT @NicolaSmyrnakis: Περήφανοι είμαστε για τα παιδιά μας όταν… όταν τίποτα. Είμαστε περήφανοι για αυτά. Τελεία. Όχι μόνο όταν τα καταφέρνου…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2022	6	28
